Categoría de clientes,Subcategoría,Energía facturada por servicio electrico (GWh),Energía facturada por servicio electrico (%),Mes,Año
Demanda Regulada, Comercial ,4460.19,17.34%,Junio,2024
Demanda Regulada, Otros ,2948.17,11.46%,Junio,2024
Demanda Regulada, SAPG ,1590.15,6.18%,Junio,2024
Demanda No Regulada,Demanda No Regulada,1800.1,7.00%,Junio,2024
Demanda Regulada, Residencial ,8716.36,33.93%,Julio,2024
Demanda Regulada, Industrial ,6185.84,24.08%,Julio,2024
Demanda Regulada, Comercial ,4439.58,17.28%,Julio,2024
Demanda Regulada, Otros ,2962.04,11.53%,Julio,2024
Demanda Regulada, SAPG ,1589.16,6.19%,Julio,2024
Demanda No Regulada,Demanda No Regulada,1796.78,6.99%,Julio,2024
Demanda Regulada, Residencial ,8690.44,33.86%,Agosto,2024
Demanda Regulada, Industrial ,6199.82,24.16%,Agosto,2024
Demanda Regulada, Comercial ,4432.17,17.27%,Agosto,2024
Demanda Regulada, Otros ,2987.69,11.64%,Agosto,2024
Demanda Regulada, SAPG ,1555.25,6.06%,Agosto,2024
Demanda No Regulada,Demanda No Regulada,1799.14,7.01%,Agosto,2024
Demanda Regulada, Residencial ,8638.74,33.75%,Septiembre,2024
Demanda Regulada, Industrial ,6175.44,24.13%,Septiembre,2024
Demanda Regulada, Comercial ,4414.15,17.24%,Septiembre,2024
Demanda Regulada, Otros ,2991.31,11.69%,Septiembre,2024
Demanda Regulada, SAPG ,1598.16,6.24%,Septiembre,2024
Demanda No Regulada,Demanda No Regulada,1779.01,6.95%,Septiembre,2024
